iso3,year_window,category,total_event_count,goldstein_wavg,tone_wavg
ECU,2010,Other,36444,1.3262820217319722,4.286581357699484
ECU,2010,Protest,862,-5.193719257540603,4.741786542923434
ECU,2015,Aid/Cooperation,56901,2.905325969666614,2.390856856645753
ECU,2015,Conflict/Migration,6388,-9.736670162805257,1.2225588603631812
ECU,2015,Disapproval/Sanction,15764,-3.021807218979955,1.8325225831007355
ECU,2015,Other,78330,2.0467282650325545,2.082720885995149
ECU,2015,Protest,1870,-4.968655614973263,1.980573262032085
ECU,2020,Aid/Cooperation,61144,2.9322152786863795,-1.3682978869553841
ECU,2020,Conflict/Migration,8681,-9.644696463541067,-4.974090657758323
ECU,2020,Disapproval/Sanction,18181,-3.02232852978384,-4.34143721467466
ECU,2020,Other,88868,1.5964718571364271,-3.209924089661071
ECU,2020,Protest,2035,-4.941268796068796,-4.1105793611793615
ECU,2024,Aid/Cooperation,27860,3.0022033740129217,-1.6112171572146448
ECU,2024,Conflict/Migration,10402,-9.846348586810228,-7.245744760622957
ECU,2024,Disapproval/Sanction,9114,-2.8471664472240508,-5.20078077682686
ECU,2024,Other,40753,1.0417741025200598,-3.8929930066498173
ECU,2024,Protest,1291,-4.868555383423703,-5.124
EGY,2000,Aid/Cooperation,141912,3.2366074468684816,5.615922529454873
EGY,2000,Conflict/Migration,12004,-9.837895368210598,3.446508497167611
EGY,2000,Disapproval/Sanction,22620,-3.037216887709991,5.287089301503095
EGY,2000,Other,101656,1.688174864248052,5.3414122826001424
EGY,2000,Protest,2637,-5.175486537732271,5.303486537732272
EGY,2005,Aid/Cooperation,148990,3.203580622860595,5.540638895227867
EGY,2005,Conflict/Migration,14318,-9.800883782651209,3.934062369045956
EGY,2005,Disapproval/Sanction,22595,-3.0259548130117278,5.324182828059305
EGY,2005,Other,112029,1.5932023226128946,5.389595113765186
EGY,2005,Protest,3099,-5.3137253952888015,5.205032591158438
EGY,2010,Aid/Cooperation,274638,3.2815195675762276,5.589564546785223
EGY,2010,Conflict/Migration,48781,-9.776385887948177,3.8167571595498253
EGY,2010,Disapproval/Sanction,63516,-3.018196501668871,4.988705538761886
EGY,2010,Other,280080,1.3537634497286488,5.21404069194516
EGY,2010,Protest,7608,-5.249601340694006,4.726731466876972
EGY,2015,Aid/Cooperation,828518,3.0968217685071413,2.968394290769784
EGY,2015,Conflict/Migration,294769,-9.837805895463905,1.026357795426249
EGY,2015,Disapproval/Sanction,313301,-2.8707514754182077,2.318215055170587
EGY,2015,Other,1273340,0.4739311354390815,2.480950239527542
EGY,2015,Protest,42727,-5.283144966882768,2.329135722142907
EGY,2020,Aid/Cooperation,653298,3.1637741735012197,-1.1140974930276843
EGY,2020,Conflict/Migration,163582,-9.82606152266142,-6.071843796994779
EGY,2020,Disapproval/Sanction,185157,-2.832108421501753,-4.074830273767667
EGY,2020,Other,806067,1.0929685472795685,-2.8735277340469216
EGY,2020,Protest,23107,-5.221262561128663,-4.3925317436274725
EGY,2024,Aid/Cooperation,427197,3.1873746163947776,-0.8270621750620908
EGY,2024,Conflict/Migration,69200,-9.789462225433526,-5.000540809248555
EGY,2024,Disapproval/Sanction,79705,-2.9645985446333354,-3.7369419107960606
EGY,2024,Other,413852,1.921405719919198,-2.204933845915931
EGY,2024,Protest,14411,-5.120935951703559,-4.533044618694054
ERI,2000,Aid/Cooperation,18864,3.4840695504664976,5.737206636980493
ERI,2000,Conflict/Migration,4992,-9.888426482371797,4.035811298076923
ERI,2000,Disapproval/Sanction,5677,-2.8510442134930423,4.995458692971639
ERI,2000,Other,17501,1.9600648534369465,5.3662607279584025
ERI,2000,Protest,472,-5.4655550847457635,4.818205508474577
ERI,2005,Aid/Cooperation,13242,3.3570682676332884,6.030334843679202
ERI,2005,Conflict/Migration,1386,-9.87128427128427,4.961597402597402
ERI,2005,Disapproval/Sanction,3242,-2.9719602097470696,5.52499814929056
