iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest
ESP,2000,3837,719,1002,4419,104,3.2990794891842583,-9.816346314325452,-2.8551636726546903,1.5588424983027835,-5.399971153846154,6.012979410998175,4.525599443671767,4.957482035928144,5.252908350305499,5.318269230769231
ESP,2005,4090,1028,741,4857,118,3.1743853300733496,-9.810800583657588,-3.0699271255060725,2.3303568046119003,-5.3017711864406785,5.91579511002445,4.3119406614786,4.967218623481782,5.366246242536545,4.5710254237288135
ESP,2010,11300,3784,2538,16881,345,3.236254424778761,-9.820716437632136,-2.742065011820331,1.2236334340382677,-5.034547826086956,5.487380353982301,3.7689114693446086,4.523622537431048,4.366228955630591,5.698947826086957
ESP,2015,33015,10782,7774,40127,958,2.9371133727093746,-9.83499693934335,-2.8834580653460247,1.1574903182395893,-5.063471816283926,2.1696170528547634,-0.38634770914487065,0.7130306148700796,1.214536471702345,0.7258559498956155
ESP,2020,55990,19209,16385,80191,2366,2.8960610287551347,-9.797641886615649,-2.8665414708574914,0.9942586200446435,-4.94712383770076,-1.9952481693159494,-5.256395023166224,-4.4018451022276475,-3.7082082278559936,-4.401193575655114
ESP,2024,25295,8099,8703,38917,888,2.8816751531923304,-9.784402518829486,-2.820446627599678,0.8089664670966416,-4.871597972972974,-1.1800122158529356,-5.627385479688851,-4.041588532689878,-3.3451978055862477,-4.251752252252253
ETH,2000,29411,7181,7662,29530,772,3.3010256366665534,-9.854019356635565,-2.8443752283998958,1.9105641720284459,-5.478022020725388,5.609830607595797,3.912334633059462,4.950417515009136,5.244743989163561,4.805296632124353
ETH,2005,35135,5473,8227,37006,943,3.3120344385939946,-9.85769596199525,-2.9999133341436734,1.700611387342593,-5.179760339342523,6.069573274512594,3.9345015530787504,5.330961346784977,5.691520645300762,5.459279957582184
ETH,2010,70993,24868,20931,92870,2974,3.3271221247165212,-9.83137196396976,-2.923912856528594,2.042008991062776,-5.426314391392065,5.989868085585902,3.781567596911694,5.0188976637523295,5.490823333692257,4.707851714862139
ETH,2015,160325,27269,31635,169466,4009,3.2370364946203023,-9.787209908687519,-2.8811192666350562,1.8634910896581025,-5.090946121227239,2.608723449243724,0.40853720341780064,1.1630755176228862,2.032072451111137,0.9828648041905711
ETH,2020,255887,47457,54511,279631,7449,3.170846936342995,-9.830650272878605,-2.893332299902772,1.7116935032238914,-5.10972439253591,-0.7782191357904076,-5.250093073729904,-3.6911306341839265,-2.3290877513580397,-4.187822392267418
ETH,2024,140400,41809,38954,170017,5826,3.324944693732194,-9.819716926977444,-2.9041841402680086,1.9163480946023046,-5.152234637830416,-0.9971266524216524,-5.670570834030951,-4.154471864250141,-2.704158948811001,-4.894432200480604
FRA,2000,166963,19023,35812,174590,4405,3.169009175685631,-9.800330389528465,-3.0346209371160504,1.4999113809496534,-5.21977866061294,5.558735743847439,4.050877674394155,5.084655925388138,5.1529294633140506,5.0482286038592505
FRA,2005,165868,23861,44164,194915,6167,3.0711197759664315,-9.810788944302418,-3.075605470518975,1.3492920555113768,-5.3324139776228305,5.612767851544603,4.128318511378399,5.196931618512816,5.219004771310572,4.912518242257176
FRA,2010,453173,78277,135583,609843,19311,3.1186893062914165,-9.792650523142173,-2.904061423629806,1.497648416067742,-5.205745119362022,5.659486752299894,4.224639498192317,4.934344438462048,5.180697531987742,4.8264723214748075
FRA,2015,1205928,316763,354222,1539331,58158,3.055328274158988,-9.821185018452281,-2.8550776688065675,1.5289439204433615,-5.335294920733175,2.232713365142861,0.32163258650789395,1.387462032284838,1.7139594018440478,0.5434364661783417
FRA,2020,1480080,318142,422114,1875256,70465,3.1143277113399277,-9.829291687359733,-2.876888854669591,1.547181504818542,-5.270700957922372,-0.8382987602021511,-4.513489718427621,-2.9933771800982676,-2.130370921623501,-3.85894739232243
FRA,2024,801462,129765,208880,945842,31082,3.059269370225912,-9.80093798019497,-2.8796913443125245,1.5567190947325242,-5.158591242519787,-0.3392141374138761,-4.023369961083497,-2.7077312236690925,-1.7700484636968965,-3.509312174248761
GBR,2000,5393,385,672,3611,60,3.085586501019841,-9.879503896103897,-3.1773110119047616,2.0630753253946277,-5.19005,5.243055813091043,4.312205194805195,5.217252976190475,5.230713652727776,5.0894666666666675
GBR,2005,5755,235,537,3634,76,3.0148319721980887,-9.808493617021277,-3.0353910614525144,1.8636543753439734,-5.110434210526316,5.651836142484797,4.4334127659574465,4.923117318435754,5.419519812878371,4.439092105263159
GBR,2010,6661,861,1611,8351,186,3.07293634589401,-9.817415795586527,-2.6489664804469277,1.153350137708059,-4.9667311827957,5.507868338087374,4.337558652729384,5.024472998137802,4.8095176625553835,4.566483870967742
GBR,2015,10842,1009,1784,10452,299,3.5015323741007194,-9.870555004955401,-2.9402455156950675,1.9493701683888254,-4.83466889632107,3.4088231876037627,1.673488602576809,2.103147421524664,2.6956745120551093,1.2917090301003342
