iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
IDN,BEL,2015,3358.0,19383.0,3434177.0,0.17324459577980705,0.0009778179750199248
IDN,BEL,2020,3591.0,19807.0,3647140.0,0.1812995405664664,0.0009846071168093356
IDN,BEL,2024,3816.0,20461.0,3969365.0,0.186501148526465,0.0009613628376327196
IDN,BGD,2000,97476.0,289079.0,2248113.0,0.3371950228138329,0.043359030440195845
IDN,BGD,2005,123383.0,351379.0,2535440.0,0.3511393680328079,0.048663348373457864
IDN,BGD,2010,143647.0,391980.0,3182777.0,0.366465125771723,0.04513259961348219
IDN,BGD,2015,152862.0,402431.0,3434177.0,0.37984648299957013,0.04451197477590701
IDN,BGD,2020,149901.0,394634.0,3647140.0,0.3798481631080951,0.041100972268681764
IDN,BGD,2024,205947.0,542183.0,3969365.0,0.3798477635779801,0.05188411748478661
IDN,BGR,2000,11.0,577.0,2248113.0,0.019064124783362217,4.892992478580925e-06
IDN,BGR,2005,17.0,845.0,2535440.0,0.020118343195266272,6.704950620010728e-06
IDN,BGR,2010,22.0,1095.0,3182777.0,0.02009132420091324,6.912202771353444e-06
IDN,BGR,2015,38.0,2170.0,3434177.0,0.017511520737327188,1.1065242123513145e-05
IDN,BGR,2020,63.0,3537.0,3647140.0,0.017811704834605598,1.7273809066830447e-05
IDN,BGR,2024,87.0,4865.0,3969365.0,0.01788283658787256,2.1917863436595023e-05
IDN,BHR,2000,9135.0,9679.0,2248113.0,0.9437958466783759,0.004063407844712432
IDN,BHR,2005,14255.0,14995.0,2535440.0,0.9506502167389129,0.0056222982993089955
IDN,BHR,2010,23008.0,24136.0,3182777.0,0.9532648326151807,0.007228907334695456
IDN,BHR,2015,25817.0,27082.0,3434177.0,0.9532900081234769,0.0075176672605983905
IDN,BHR,2020,28122.0,29500.0,3647140.0,0.9532881355932203,0.007710699342498506
IDN,BHR,2024,30062.0,31535.0,3969365.0,0.9532899952433803,0.00757350357047034
IDN,BHS,2000,6.0,4306.0,2248113.0,0.0013934045517882026,2.6689049883168685e-06
IDN,BHS,2005,18.0,6605.0,2535440.0,0.002725208175624527,7.099359480011359e-06
IDN,BHS,2010,30.0,8949.0,3182777.0,0.003352329869259135,9.425731051845606e-06
IDN,BHS,2015,33.0,9697.0,3434177.0,0.0034031143652676087,9.609289212524572e-06
IDN,BHS,2020,34.0,10393.0,3647140.0,0.003271432695083229,9.322373147178338e-06
IDN,BHS,2024,36.0,10998.0,3969365.0,0.0032733224222585926,9.069460732384147e-06
IDN,BOL,2000,15.0,3678.0,2248113.0,0.004078303425774877,6.672262470792171e-06
IDN,BOL,2005,12.0,3954.0,2535440.0,0.0030349013657056147,4.7329063200075726e-06
IDN,BOL,2010,9.0,4222.0,3182777.0,0.0021316911416390336,2.8277193155536816e-06
IDN,BOL,2015,11.0,4917.0,3434177.0,0.0022371364653243847,3.2030964041748576e-06
IDN,BOL,2020,10.0,5471.0,3647140.0,0.0018278194114421495,2.7418744550524522e-06
IDN,BOL,2024,11.0,6108.0,3969365.0,0.0018009168303863784,2.771224112672934e-06
IDN,BRA,2000,722.0,14437.0,2248113.0,0.05001038997021542,0.0003211582335941298
IDN,BRA,2005,785.0,18822.0,2535440.0,0.0417065136542344,0.00030961095510049537
IDN,BRA,2010,716.0,23500.0,3182777.0,0.030468085106382978,0.00022496078110404845
IDN,BRA,2015,767.0,28962.0,3434177.0,0.02648297769491057,0.0002233431765456469
IDN,BRA,2020,814.0,33265.0,3647140.0,0.02447016383586352,0.0002231885806412696
IDN,BRA,2024,847.0,28611.0,3969365.0,0.02960399846212995,0.0002133842566758159
IDN,BRN,2000,5778.0,51180.0,2248113.0,0.11289566236811255,0.002570155503749144
IDN,BRN,2005,5907.0,52321.0,2535440.0,0.11289921828711225,0.0023297731360237277
IDN,BRN,2010,6036.0,53462.0,3182777.0,0.11290262242340354,0.0018964570876313358
IDN,BRN,2015,6165.0,54603.0,3434177.0,0.11290588429207186,0.0017951899392489089
IDN,BRN,2020,6717.0,59510.0,3647140.0,0.11287178625441102,0.001841717071458732
IDN,BRN,2024,7195.0,63747.0,3969365.0,0.11286805653599385,0.0018126324991528872
IDN,CAN,2000,9197.0,268121.0,2248113.0,0.03430167722781878,0.004090986529591707
IDN,CAN,2005,11931.0,281778.0,2535440.0,0.042341843578987716,0.004705692108667529
IDN,CAN,2010,14446.0,342515.0,3182777.0,0.04217625505452316,0.004538803692498721
IDN,CAN,2015,15781.0,376095.0,3434177.0,0.04196014304896369,0.0045952785776621295
IDN,CAN,2020,16012.0,308605.0,3647140.0,0.05188509583448097,0.004390289377429986
IDN,CAN,2024,16815.0,298361.0,3969365.0,0.056357902004618564,0.004236193950417762
IDN,CHN,2000,69472.0,143280.0,2248113.0,0.4848687883863763,0.030902361224724912
IDN,CHN,2005,48554.0,134556.0,2535440.0,0.360846041796724,0.01915012778847064
IDN,CHN,2010,144618.0,244237.0,3182777.0,0.5921215868193599,0.045437679108526925
IDN,CHN,2015,226184.0,326332.0,3434177.0,0.69311008420872,0.06586265064380782
IDN,CHN,2020,263382.0,359919.0,3647140.0,0.7317813174630958,0.0722160377720625
IDN,CHN,2024,296555.0,401377.0,3969365.0,0.7388440294286918,0.07471094243033835
IDN,CRI,2000,13.0,9683.0,2248113.0,0.0013425591242383558,5.782627474686548e-06
IDN,CRI,2005,10.0,6349.0,2535440.0,0.001575051189163648,3.944088600006311e-06
IDN,CRI,2010,18.0,12515.0,3182777.0,0.0014382740711146624,5.655438631107363e-06
IDN,CRI,2015,17.0,12694.0,3434177.0,0.001339215377343627,4.950239897361143e-06
IDN,CRI,2020,20.0,15233.0,3647140.0,0.0013129390139828005,5.4837489101049045e-06
IDN,CRI,2024,24.0,18383.0,3969365.0,0.0013055540444976337,6.046307154922765e-06
IDN,CUW,2000,187.0,527.0,2248113.0,0.3548387096774194,8.318087213587574e-05
IDN,CUW,2005,187.0,527.0,2535440.0,0.3548387096774194,7.3754456820118e-05
IDN,CUW,2010,169.0,474.0,3182777.0,0.35654008438818563,5.309828492539691e-05
IDN,CUW,2015,182.0,512.0,3434177.0,0.35546875,5.299668595998401e-05
IDN,CUW,2020,211.0,595.0,3647140.0,0.3546218487394958,5.785355100160674e-05
IDN,CUW,2024,295.0,832.0,3969365.0,0.3545673076923077,7.431919211259232e-05
IDN,CYP,2000,79.0,1545.0,2248113.0,0.0511326860841424,3.5140582346172104e-05
IDN,CYP,2005,118.0,2323.0,2535440.0,0.05079638398622471,4.6540245480074465e-05
IDN,CYP,2010,181.0,3564.0,3182777.0,0.05078563411896745,5.686857734613515e-05
IDN,CYP,2015,165.0,3271.0,3434177.0,0.05044328951391012,4.804644606262287e-05
IDN,CYP,2020,169.0,3374.0,3647140.0,0.05008891523414345,4.633767829038644e-05
IDN,CYP,2024,179.0,3581.0,3969365.0,0.04998603741971516,4.5095374197132286e-05
IDN,DNK,2000,616.0,9327.0,2248113.0,0.06604481612522783,0.0002740075788005318
IDN,DNK,2005,892.0,10477.0,2535440.0,0.0851388756323375,0.0003518127031205629
IDN,DNK,2010,1064.0,12604.0,3182777.0,0.08441764519200254,0.00033429926130545745
IDN,DNK,2015,1161.0,14475.0,3434177.0,0.08020725388601037,0.00033807226593154634
IDN,DNK,2020,1296.0,16236.0,3647140.0,0.07982261640798226,0.0003553469293747978
IDN,DNK,2024,1546.0,19207.0,3969365.0,0.08049148747852346,0.0003894829525629414
IDN,DZA,2000,1446.0,3417.0,2248113.0,0.4231782265144864,0.0006432061021843653
IDN,DZA,2005,1143.0,2702.0,2535440.0,0.42301998519615097,0.0004508093269807213
IDN,DZA,2010,1255.0,2967.0,3182777.0,0.4229861813279407,0.0003943097490022078
IDN,DZA,2015,1363.0,3222.0,3434177.0,0.4230291744258225,0.00039689276353548466
IDN,DZA,2020,1416.0,3347.0,3647140.0,0.4230654317299074,0.0003882494228354272
IDN,DZA,2024,1467.0,3468.0,3969365.0,0.42301038062283736,0.000369580524844654
IDN,EGY,2000,1833.0,7182.0,2248113.0,0.2552213868003342,0.0008153504739308033
IDN,EGY,2005,2372.0,8428.0,2535440.0,0.28144280968201235,0.0009355378159214969
IDN,EGY,2010,2822.0,9143.0,3182777.0,0.3086514273214481,0.00088664710094361
