iso3,country,year,ethnic_group,sex,value,metric,unit,source,source_year,record_type,reliability
ATG,Antigua and Barbuda,2011,"Syrian, Lebanese or Arab",Both Sexes,570,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Total,Both Sexes,84816,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,Unknown,Both Sexes,750,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
ATG,Antigua and Barbuda,2011,White,Both Sexes,1398,ethnic_composition,persons,UNdata_Export_20250416_063435193,2014,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Afgan,Both Sexes,12408,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,African American,Both Sexes,1201,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Afrikaner,Both Sexes,1645,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Akan,Both Sexes,124,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Albanian,Both Sexes,10458,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Algerian,Both Sexes,696,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,American,Both Sexes,44255,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Anglo-Burmese,Both Sexes,822,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Anglo-Indian,Both Sexes,12327,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Angolan,Both Sexes,114,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,"Arab, nec (incl. Baggara, Bedouin, Yemeni)",Both Sexes,623,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,"Arab, nfd",Both Sexes,15838,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Argentinean,Both Sexes,6482,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Armenian,Both Sexes,14666,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Assyrian/ Chaldean,Both Sexes,18666,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Australian,Both Sexes,6739594,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Australian Aboriginal,Both Sexes,94950,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Australian South Sea Islander,Both Sexes,3441,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Austrian,Both Sexes,38112,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Basque,Both Sexes,454,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Belarus,Both Sexes,1378,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Bengali,Both Sexes,9548,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
AUS,Australia,2001,Berber,Both Sexes,108,ethnic_composition,persons,UNdata_Export_20250416_063435193,2009,Census - de jure - complete tabulation,"Final figure, complete"
