iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest,conflict_events,conflict_tone,conflict_goldstein,coop_events,coop_tone,coop_goldstein,conflict_events_d1,conflict_events_d2,coop_events_d1,coop_events_d2,conflict_tone_d1,conflict_tone_d2,coop_tone_d1,coop_tone_d2,conflict_goldstein_d1,conflict_goldstein_d2,coop_goldstein_d1,coop_goldstein_d2,conflict_events_z,conflict_spike_hi,conflict_spike_med,push_multiplier,coop_events_z,pull_multiplier
ARG,2020,161331,20727,34205,178241,3861,3.0742703200252897,-9.795175326868335,-2.940523900014618,1.8655182982590988,-5.132293188293188,-0.6044148489750886,-4.05669093452984,-3.0873673147200704,-1.692400042638899,-2.794826987826988,58793,-3.409883132345687,-5.501012076267583,161331,-0.6044148489750886,3.0742703200252897,-9156.0,32288.0,27091.0,101548.0,-4.76866148081292,-7.998496752417372,-3.3226922700120376,-5.945445660409777,-0.1636640946931669,-0.06300743563374045,-0.008695651369227786,-0.05566782292504735,1.1224848801171288,0,1,1.3741616267057095,1.5783256989074526,1.5261085663024843
ARG,2024,76696,9971,17306,83053,1973,3.11757094242203,-9.798725604252331,-2.897763087946377,1.792937810795516,-5.201747592498732,-0.14229756441013872,-3.9254471968709255,-2.794872067491043,-1.4903697398047029,-3.182775468829194,29250,-3.2064378119658117,-5.405635179487179,76696,-0.14229756441013872,3.11757094242203,-29543.0,-38699.0,-84635.0,-57544.0,0.2034453203798754,-4.565216160433044,0.4621172845649498,-2.8605749854470877,0.09537689678040362,-0.06828719791276328,0.04330062239674026,0.03460497102751248,-0.2153675359839587,0,0,0.9282108213386804,-0.09201146384196762,0.9693295120526775
AUS,2000,36318,2157,8332,36430,1354,3.169785615948015,-9.77174779786741,-3.055577412385982,1.3496210540763105,-5.017000738552437,5.846183545349414,4.32354705609643,6.009985717714835,5.731874444139446,6.233169867060561,11843,5.7283461960651865,-4.503060879844634,36318,5.846183545349414,3.169785615948015,,,,,,,,,,,,,-0.9640938325962487,0,0,0.6786353891345838,-0.9841658923140867,0.6719447025619711
AUS,2005,26317,1802,5857,26130,639,3.1915070866740134,-9.813189789123197,-3.1303523988389963,1.5489068503635668,-5.100383411580594,5.764781624045294,4.3760377358490565,5.63712224688407,5.378880290853426,5.402209702660407,8298,5.345174379368523,-4.733307664497469,26317,5.764781624045294,3.1915070866740134,-3545.0,,-10001.0,,-0.3831718166966631,,-0.0814019213041206,,-0.23024678465283532,,0.021721470725998504,,-1.1023116769183945,0,0,0.6325627743605351,-1.1243701560338653,0.6252099479887117
AUS,2010,65827,8423,14765,86352,2060,3.2227584122016797,-9.714502196367091,-2.997555706061632,1.393155607281823,-5.12691213592233,5.708502787609947,4.127381574260952,5.081472536403658,5.176012622753381,4.840848058252428,25248,4.743544993662865,-5.412135654309253,65827,5.708502787609947,3.2227584122016797,16950.0,13405.0,39510.0,29509.0,-0.6016293857056585,-0.9848012024023216,-0.05627883643534659,-0.1376807577394672,-0.6788279898117837,-0.909074774464619,0.031251325527666296,0.0529727962536648,-0.4414393324161737,0,0,0.8528535558612754,-0.5704784992426993,0.8098405002524336
AUS,2015,177938,18422,32217,184744,4383,3.324184895862604,-9.783476658343284,-3.047976596206972,1.6683878393885592,-5.0434923568332195,1.6198536344119863,-0.08168499620019559,1.13470403824068,1.3157854274022431,0.3064207164042892,55022,0.66146270582676,-5.4620605575951435,177938,1.6198536344119863,3.324184895862604,29774.0,46724.0,112111.0,151621.0,-4.082082287836105,-4.683711673541763,-4.088649153197961,-4.144927989633308,-0.04992490328589039,-0.7287528930976741,0.10142648366092422,0.1326778091885905,0.7194346018144531,0,0,1.239811533938151,1.0012083530608797,1.33373611768696
AUS,2020,217596,26741,48005,249174,7292,3.1179106049743557,-9.782015182678284,-2.9952760962399756,1.66607620779054,-5.052839413055402,-0.6241692724130958,-4.135320332074343,-2.681196125403604,-1.803129720596852,-3.528842155787164,82038,-3.2305241229674055,-5.390360588995344,217596,-0.6241692724130958,3.1179106049743557,27016.0,56790.0,39658.0,151769.0,-3.8919868287941655,-7.97406911663027,-2.244022906825082,-6.332672060023043,0.07169996859979921,0.021775065313908826,-0.20627429088824822,-0.10484780722732401,1.7727754430576388,1,0,1.5909251476858794,1.5571748254735363,1.5190582751578454
AUS,2024,115125,11500,22338,113835,3133,3.3271137546145497,-9.844988173913043,-2.989606455367535,1.5952112267755962,-5.1394111075646345,-0.2668342410423452,-3.913998869565218,-2.33628717879846,-1.5290919752273027,-3.6954171720395785,36971,-2.9422171972627194,-5.30418349517189,115125,-0.2668342410423452,3.3271137546145497,-45067.0,-18051.0,-102471.0,-62813.0,0.2883069257046862,-3.6036799030894793,0.3573350313707506,-1.8866878754543315,0.08617709382345407,0.15787706242325328,0.20920314964019404,0.0029288587519458176,0.015634797058725107,0,0,1.0052115990195751,0.12063136905623509,1.0402104563520784
BGD,2000,787,232,374,1192,34,2.69854002541296,-9.876987068965516,-2.8717326203208557,1.246353187919463,-5.517470588235294,5.75315374841169,4.259978448275862,5.604336898395721,5.6095,4.618,640,5.0646078125,-5.5516921875,787,5.75315374841169,2.69854002541296,,,,,,,,,,,,,-1.3068571176777901,0,0,0.56438096077407,-1.2912767943493682,0.569574401883544
BGD,2005,871,207,402,1615,46,2.8354408725602758,-9.77049275362319,-2.987542288557214,0.8242687306501548,-4.656521739130436,5.634955223880596,4.048502415458937,5.491104477611941,5.349939318885449,5.76804347826087,655,5.054647328244275,-5.248372519083969,871,5.634955223880596,2.8354408725602758,15.0,,84.0,,-0.009960484255724822,,-0.1181985245310937,,0.3033196684160302,,0.13690084714731565,,-1.3044222322499668,0,0,0.5651925892500111,-1.2856544475907348,0.571448517469755
