iso3_orig,iso3_dest,year,migrant_stock,migrant_stock_pred,migrant_stock_shock,delta_in_od,delta_out_od,delta_stock_od,model_name,view_type,scenario_name
ERI,IDN,2025,,185.8535625317361,218.3088133453053,32.45525081356926,0.0,32.45525081356926,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW
ERI,IDN,2025,,185.8535625317361,191.77245325761496,5.918890725878891,0.0,5.918890725878891,XGB_OD,SCENARIO,Aid_LOW
ERI,IDN,2025,,185.8535625317361,259.83969660522223,73.98613407348614,0.0,73.98613407348614,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_HIGH
ERI,IDN,2025,,185.8535625317361,214.46153437348408,28.60797184174797,0.0,28.60797184174797,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_LOW
ERI,IDN,2025,,185.8535625317361,191.77245325761496,5.918890725878891,0.0,5.918890725878891,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH
ERI,IDN,2025,,185.8535625317361,198.5791775923757,12.725615060639624,0.0,12.725615060639624,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH
ERI,IDN,2025,,185.8535625317361,194.0413613692019,8.187798837465802,0.0,8.187798837465802,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW
ERI,IDN,2025,,185.8535625317361,191.77245325761496,5.918890725878891,0.0,5.918890725878891,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW
ERI,IDN,2025,,185.8535625317361,239.41952360094004,53.56596106920396,0.0,53.56596106920396,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH
ERI,IDN,2025,,185.8535625317361,207.65481003872333,21.80124750698725,0.0,21.80124750698725,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW
ERI,IDN,2025,,185.8535625317361,245.042469790525,59.18890725878892,0.0,59.18890725878892,XGB_OD,SCENARIO,Conflict_external_HIGH
ERI,IDN,2025,,185.8535625317361,205.5831982846657,19.72963575292964,0.0,19.72963575292964,XGB_OD,SCENARIO,Conflict_external_LOW
ERI,IDN,2025,,185.8535625317361,185.8535625317361,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_HIGH
