iso3,year,ethnic_group,share,count,total_pop,model_name,view_type,scenario_name,delta_migrants,delta_in,delta_out,delta_count,base_share,shock_share,delta_share,total_pop_shock
IDN,2025,Banten,0.023425216744493316,6858197.844574415,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,-1364.6306560503897,0.0234295088438209,0.0234248478138878,-4.661029933021702e-06,292769877.836311
IDN,2025,Betawi,0.03773234826061304,11046894.99073682,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,-2198.089337777683,0.0377392617926568,0.0377317540027992,-7.507789857579835e-06,292769877.836311
IDN,2025,"Bugis, Ugi",0.03374347324559951,9879072.539886996,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,-1965.718333999437,0.0337496559136365,0.0337429418097476,-6.71410388887131e-06,292769877.836311
IDN,2025,Jawa,0.3713190031888534,108711019.20190138,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,-21593.476620494886,0.3713869098156411,0.3713131551770215,-7.375463861953173e-05,292769877.836311
IDN,2025,Madura,0.03010377235638064,8813477.755189676,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,-1727.0812351528396,0.0301091972587025,0.030103298243245,-5.899015457491107e-06,292769877.836311
IDN,2025,Minangkabau,0.03171956862392242,9286534.231046248,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,-1847.8162320984256,0.0317253804608265,0.0317190690631377,-6.311397688706262e-06,292769877.836311
IDN,2025,Other,0.2472058533115726,72374427.47445013,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,39125.41134398639,0.2470683233118385,0.2472019599941214,0.0001336366822828,292769877.836311
IDN,2025,"Sunda, Priangan",0.1518553569432058,44458674.30105176,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,-4610.991249999985,53633.10875000002,58244.100000000006,-8819.692012764957,0.1518830898523234,0.1518529653286735,-3.01245236498717e-05,292769877.836311
IDN,2025,"Banjar, Melayu Banjar",0.07289864820225493,21341572.99747134,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,-4226.398167859287,0.0729086727505534,0.0728942370728248,-1.4435677728562484e-05,292756772.91381097
IDN,2025,Banten,0.023426265347560385,6858197.844574414,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,-1364.6306560503897,0.0234295088438209,0.0234248478138878,-4.661029933021702e-06,292756772.91381097
IDN,2025,Betawi,0.037734037306078244,11046894.99073682,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,-2198.089337777683,0.0377392617926568,0.0377317540027992,-7.507789857579835e-06,292756772.91381097
IDN,2025,"Bugis, Ugi",0.033744983733631474,9879072.539886994,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,-1965.718333999437,0.0337496559136365,0.0337429418097476,-6.71410388887131e-06,292756772.91381097
IDN,2025,Jawa,0.3713355934612797,108711010.00975908,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,-21602.668762797643,0.3713869098156411,0.3713131237803574,-7.37860352837e-05,292756772.91381097
IDN,2025,Madura,0.030105097714621228,8813471.255187456,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,-1733.5812373643728,0.0301091972587025,0.0301032760418495,-5.921216852966386e-06,292756772.91381097
IDN,2025,Minangkabau,0.03172098851417607,9286534.23104625,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,-1847.8162320984256,0.0317253804608265,0.0317190690631377,-6.311397688706262e-06,292756772.91381097
IDN,2025,Other,0.24717225334835408,72361351.24409905,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,26049.180992923728,0.2470683233118385,0.2471572968460328,8.897353419432059e-05,292756772.91381097
IDN,2025,"Sunda, Priangan",0.15186213237204382,44458667.80104954,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,-17715.91375,40528.186250000006,58244.100000000006,-8826.19201497649,0.1518830898523234,0.151852943127278,-3.014672504534697e-05,292756772.91381097
IDN,2025,"Banjar, Melayu Banjar",0.07290026986404129,21344400.74748793,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,-1398.6481512647138,0.0729086727505534,0.0729038955305269,-4.7772200264637575e-06,292789049.85256094
IDN,2025,Banten,0.02342679004491166,6859107.598345119,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,-454.8768853501298,0.0234295088438209,0.0234279551671765,-1.5536766443405672e-06,292789049.85256094
IDN,2025,Betawi,0.03773488246637731,11048360.383628674,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,-732.6964459258942,0.0377392617926568,0.0377367591960376,-2.5025966191932778e-06,292789049.85256094
IDN,2025,"Bugis, Ugi",0.033745739547813534,9880383.018776314,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,-655.2394446664789,0.0337496559136365,0.0337474178790068,-2.2380346296237696e-06,292789049.85256094
IDN,2025,Jawa,0.37134389485984703,108725426.1445639,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,-7186.533957953556,0.3713869098156411,0.3713623635036084,-2.4546312032624872e-05,292789049.85256094
IDN,2025,Madura,0.03010576089402644,8814637.127250386,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,-567.7091744330758,0.0301091972587025,0.0301072581923012,-1.939066401265059e-06,292789049.85256094
IDN,2025,Minangkabau,0.031721698995271,9287766.108534332,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,-615.9387440328086,0.0317253804608265,0.0317232766615969,-2.1037992295687544e-06,292789049.85256094
IDN,2025,Other,0.24715544068371778,72364406.64367671,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,29104.580570597103,0.2470683233118385,0.2471677328631527,9.940955131421712e-05,292789049.85256094
IDN,2025,"Sunda, Priangan",0.15186552264399392,44464562.08029756,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW,14561.024999999998,33975.725,19414.7,-2931.9127669704485,0.1518830898523234,0.1518730756165247,-1.0014235798725256e-05,292789049.85256094
IDN,2025,"Banjar, Melayu Banjar",0.0728662581072216,21344468.99751116,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,-1330.3981280436171,0.0729086727505534,0.0729041286451794,-4.544105373973339e-06,292926651.53881097
IDN,2025,Banten,0.023415785358937652,6859107.598345121,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,-454.8768853501298,0.0234295088438209,0.0234279551671765,-1.5536766443405672e-06,292926651.53881097
IDN,2025,Betawi,0.03771715658370143,11048360.383628678,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,-732.6964459258942,0.0377392617926568,0.0377367591960376,-2.5025966191932778e-06,292926651.53881097
IDN,2025,"Bugis, Ugi",0.03372988755673953,9880383.018776316,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,-655.2394446664789,0.0337496559136365,0.0337474178790068,-2.2380346296237696e-06,292926651.53881097
IDN,2025,Jawa,0.3711697863301205,108725522.66205813,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,-7090.016463774649,0.3713869098156411,0.3713626931685822,-2.421664705885814e-05,292926651.53881097
IDN,2025,Madura,0.03009185176892557,8814705.377273612,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,-499.4591512119793,0.0301091972587025,0.0301074913069537,-1.7059517487746412e-06,292926651.53881097
IDN,2025,Minangkabau,0.03170679779304329,9287766.108534332,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,-615.9387440328086,0.0317253804608265,0.0317232766615969,-2.1037992295687544e-06,292926651.53881097
IDN,2025,Other,0.24750805937764545,72501707.06236288,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,166404.99925675488,0.2470683233118385,0.2476366959180827,0.0005683726062442,292926651.53881097
IDN,2025,"Sunda, Priangan",0.1517944171236651,44464630.33032077,292774488.82756096,ET_BASE,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,152162.71124999996,171577.41124999998,19414.7,-2863.662743749352,0.1518830898523234,0.1518733087311771,-9.78112114623484e-06,292926651.53881097
