iso3_orig,iso3_dest,year,migrant_stock_pred,model_name
IDN,NOR,2035,2177.7617578172685,XGB_OD
IDN,NZL,2025,8727.097281319646,XGB_OD
IDN,NZL,2030,8892.06567921412,XGB_OD
IDN,NZL,2035,8478.85223251075,XGB_OD
IDN,PAK,2025,319.3120549827921,XGB_OD
IDN,PAK,2030,314.44202670264656,XGB_OD
IDN,PAK,2035,312.3178379490676,XGB_OD
IDN,PAN,2025,227.53671866134323,XGB_OD
IDN,PAN,2030,221.77764867528498,XGB_OD
IDN,PAN,2035,221.76596382903534,XGB_OD
IDN,PNG,2025,13017.700132758875,XGB_OD
IDN,PNG,2030,11903.913549435141,XGB_OD
IDN,PNG,2035,11368.111867788743,XGB_OD
IDN,PRK,2025,1352.835797649844,XGB_OD
IDN,PRK,2030,1310.0906360112967,XGB_OD
IDN,PRK,2035,1310.8835998092704,XGB_OD
IDN,PRT,2025,314.34457317675293,XGB_OD
IDN,PRT,2030,301.2720841893406,XGB_OD
IDN,PRT,2035,285.45428082824736,XGB_OD
IDN,QAT,2025,43407.45758859491,XGB_OD
IDN,QAT,2030,40658.95426647117,XGB_OD
IDN,QAT,2035,42510.618412128846,XGB_OD
IDN,SAU,2025,161010.04572425378,XGB_OD
IDN,SAU,2030,150765.65915027529,XGB_OD
IDN,SAU,2035,151509.83771399694,XGB_OD
IDN,SGP,2025,169411.60502518536,XGB_OD
IDN,SGP,2030,168851.41989907264,XGB_OD
IDN,SGP,2035,169244.4683190937,XGB_OD
IDN,SLB,2025,57.62326938455233,XGB_OD
IDN,SLB,2030,57.73314661590485,XGB_OD
IDN,SLB,2035,57.69112442978877,XGB_OD
IDN,SVK,2025,54.6504771865643,XGB_OD
IDN,SVK,2030,54.66241976474554,XGB_OD
IDN,SVK,2035,54.66241976474554,XGB_OD
IDN,SVN,2025,71.42325480242253,XGB_OD
IDN,SVN,2030,71.68976011466727,XGB_OD
IDN,SVN,2035,71.48450964972751,XGB_OD
