iso3,ethnic_group,year,scenario,base_share,shock_share,delta_share,total_pop_interp,delta_count,delta_migrants_2025,delta_in,delta_out
MYS,Non-Malaysian citizens,2025,Conflict_internal_LOW__Conflict_external_LOW,0.0922756456785267,0.09332691482170435,0.0010512691431776551,34656814.73002449,36433.63992649958,42656.09999999999,99530.9,56874.8
MYS,Non-Malaysian citizens,2025,Conflict_internal_LOW__Conflict_external_HIGH,0.0922756456785267,0.09573231757692213,0.0034566718983954415,34656814.73002449,119797.23756517285,241717.89999999997,298592.69999999995,56874.8
MYS,Non-Malaysian citizens,2025,Conflict_internal_HIGH__Conflict_external_LOW,0.0922756456785267,0.09199316345774854,-0.0002824822207781595,34656814.73002449,-9789.933990034548,-156405.7,14218.700000000013,170624.40000000002
MYS,Non-Malaysian citizens,2025,Conflict_internal_HIGH__Conflict_external_HIGH,0.0922756456785267,0.09233679242277965,6.114674425295323e-05,34656814.73002449,2119.1513869187893,-127968.29999999999,42656.100000000035,170624.40000000002
MYS,Non-Malaysian citizens,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0922756456785267,0.09402276347589235,0.001747117797365658,34656814.73002449,60549.53781483007,100241.835,157116.635,56874.8
MYS,Non-Malaysian citizens,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0922756456785267,0.09678897664439282,0.004513330965866112,34656814.73002449,156417.67509930432,329162.9049999999,386037.7049999999,56874.8
MYS,Non-Malaysian citizens,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0922756456785267,0.09253437907767254,0.0002587333991458426,34656814.73002449,8966.875478666943,-111616.79500000001,59007.60500000001,170624.40000000002
MYS,Non-Malaysian citizens,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0922756456785267,0.09292955238745831,0.0006539067089316223,34656814.73002449,22662.323662163282,-78913.78499999999,91710.61500000003,170624.40000000002
MYS,Non-Malaysian citizens,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0922756456785267,0.09495056168147636,0.002674916002949661,34656814.73002449,92704.06833260405,177022.815,233897.615,56874.8
MYS,Non-Malaysian citizens,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,0.0922756456785267,0.09819785540102037,0.005922209722493674,34656814.73002449,205244.92514481297,445756.2449999999,502631.04499999987,56874.8
MYS,Non-Malaysian citizens,2025,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,0.0922756456785267,0.09325599990423787,0.000980354225711179,34656814.73002449,33975.95477026894,-51898.25500000002,118726.145,170624.40000000002
MYS,Non-Malaysian citizens,2025,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,0.0922756456785267,0.09371989900702987,0.0014442533285031816,34656814.73002449,50053.22002915596,-13507.764999999956,157116.63500000007,170624.40000000002
MYS,Other,2025,Aid_LOW,0.0106776629240913,0.0106776629240913,0.0,34656814.73002449,0.0,42656.1,42656.1,0.0
MYS,Other,2025,Aid_HIGH,0.0106776629240913,0.0106776629240913,0.0,34656814.73002449,0.0,99530.9,99530.9,0.0
MYS,Other,2025,Conflict_internal_LOW,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,-56874.8,0.0,56874.8
MYS,Other,2025,Conflict_internal_HIGH,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-170624.40000000002,0.0,170624.40000000002
MYS,Other,2025,Conflict_external_LOW,0.0106776629240913,0.0106776629240913,0.0,34656814.73002449,0.0,142187.0,142187.0,0.0
MYS,Other,2025,Conflict_external_HIGH,0.0106776629240913,0.0106776629240913,0.0,34656814.73002449,0.0,426561.0,426561.0,0.0
MYS,Other,2025,Aid_LOW__Conflict_internal_LOW,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,-14218.700000000004,42656.1,56874.8
MYS,Other,2025,Aid_LOW__Conflict_internal_HIGH,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-127968.30000000002,42656.1,170624.40000000002
MYS,Other,2025,Aid_HIGH__Conflict_internal_LOW,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,42656.09999999999,99530.9,56874.8
MYS,Other,2025,Aid_HIGH__Conflict_internal_HIGH,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-71093.50000000003,99530.9,170624.40000000002
MYS,Other,2025,Aid_LOW__Conflict_external_LOW,0.0106776629240913,0.0106776629240913,0.0,34656814.73002449,0.0,206171.15,206171.15,0.0
MYS,Other,2025,Aid_LOW__Conflict_external_HIGH,0.0106776629240913,0.0106776629240913,0.0,34656814.73002449,0.0,533201.2499999999,533201.2499999999,0.0
MYS,Other,2025,Aid_HIGH__Conflict_external_LOW,0.0106776629240913,0.0106776629240913,0.0,34656814.73002449,0.0,291483.35,291483.35,0.0
MYS,Other,2025,Aid_HIGH__Conflict_external_HIGH,0.0106776629240913,0.0106776629240913,0.0,34656814.73002449,0.0,675388.2500000001,675388.2500000001,0.0
MYS,Other,2025,Conflict_internal_LOW__Conflict_external_LOW,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,42656.09999999999,99530.9,56874.8
MYS,Other,2025,Conflict_internal_LOW__Conflict_external_HIGH,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,241717.89999999997,298592.69999999995,56874.8
MYS,Other,2025,Conflict_internal_HIGH__Conflict_external_LOW,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-156405.7,14218.700000000013,170624.40000000002
MYS,Other,2025,Conflict_internal_HIGH__Conflict_external_HIGH,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-127968.29999999999,42656.100000000035,170624.40000000002
MYS,Other,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,100241.835,157116.635,56874.8
