iso3_orig,iso3_dest,MAE,RMSE,n,model_name
GTM,USA,60907.25000000023,60907.25000000023,1.0,XGB_OD
GUY,USA,10912.812500000175,10912.812500000175,1.0,XGB_OD
HKG,USA,12826.968750000116,12826.968750000116,1.0,XGB_OD
HND,USA,351.99999999965075,351.99999999965075,1.0,XGB_OD
HTI,USA,58751.000000000466,58751.000000000466,1.0,XGB_OD
IDN,ARE,10657.218750000175,10657.218750000175,1.0,XGB_OD
IDN,AUS,27513.953124999913,27513.953124999913,1.0,XGB_OD
IDN,BEL,390.21240234374727,390.21240234374727,1.0,XGB_OD
IDN,BGD,26469.656250000116,26469.656250000116,1.0,XGB_OD
IDN,BGR,11.913269042968778,11.913269042968778,1.0,XGB_OD
IDN,BHR,3000.558593749982,3000.558593749982,1.0,XGB_OD
IDN,BHS,2.5403289794921875,2.5403289794921875,1.0,XGB_OD
IDN,BOL,0.4145231246948242,0.4145231246948242,1.0,XGB_OD
IDN,BRA,54.2581787109375,54.2581787109375,1.0,XGB_OD
IDN,BRN,554.4238281249982,554.4238281249982,1.0,XGB_OD
IDN,CAN,1755.5087890624964,1755.5087890624964,1.0,XGB_OD
IDN,CHN,11626.906250000116,11626.906250000116,1.0,XGB_OD
IDN,CRI,1.4916477203369176,1.4916477203369176,1.0,XGB_OD
IDN,CUW,32.338500976562386,32.338500976562386,1.0,XGB_OD
IDN,CYP,10.521392822265625,10.521392822265625,1.0,XGB_OD
IDN,DNK,103.19628906249955,103.19628906249955,1.0,XGB_OD
IDN,DZA,125.63793945312455,125.63793945312455,1.0,XGB_OD
IDN,EGY,5969.455078124998,5969.455078124998,1.0,XGB_OD
IDN,EST,1.38580322265625,1.38580322265625,1.0,XGB_OD
IDN,FIN,50.851379394531364,50.851379394531364,1.0,XGB_OD
IDN,FRO,1.5960035324096715,1.5960035324096715,1.0,XGB_OD
IDN,GRC,10.421661376953296,10.421661376953296,1.0,XGB_OD
IDN,GTM,1.8909149169921804,1.8909149169921804,1.0,XGB_OD
IDN,HKG,20505.82812500003,20505.82812500003,1.0,XGB_OD
IDN,HRV,4.896974563598633,4.896974563598633,1.0,XGB_OD
IDN,HUN,20.748657226562614,20.748657226562614,1.0,XGB_OD
IDN,IND,23.900146484375114,23.900146484375114,1.0,XGB_OD
IDN,ISL,19.819793701171847,19.819793701171847,1.0,XGB_OD
IDN,ITA,143.83154296875,143.83154296875,1.0,XGB_OD
IDN,JPN,26766.874999999854,26766.874999999854,1.0,XGB_OD
IDN,KHM,14.616844177246136,14.616844177246136,1.0,XGB_OD
IDN,KOR,1804.0624999999927,1804.0624999999927,1.0,XGB_OD
IDN,KWT,8409.773437499956,8409.773437499956,1.0,XGB_OD
IDN,LBY,328.068359375,328.068359375,1.0,XGB_OD
IDN,LIE,1.3380260467529315,1.3380260467529315,1.0,XGB_OD
IDN,LKA,29.14163208007824,29.14163208007824,1.0,XGB_OD
IDN,LTU,0.029083251953125,0.029083251953125,1.0,XGB_OD
IDN,LUX,28.45233154296872,28.45233154296872,1.0,XGB_OD
IDN,LVA,1.4589862823486328,1.4589862823486328,1.0,XGB_OD
IDN,MEX,16.4630126953125,16.4630126953125,1.0,XGB_OD
IDN,MLT,22.346839904785128,22.346839904785128,1.0,XGB_OD
IDN,MYS,66766.875,66766.875,1.0,XGB_OD
IDN,NAM,4.579582214355497,4.579582214355497,1.0,XGB_OD
IDN,NCL,51.078674316405795,51.078674316405795,1.0,XGB_OD
IDN,NLD,8228.812500000058,8228.812500000058,1.0,XGB_OD
IDN,NOR,90.88891601562455,90.88891601562455,1.0,XGB_OD
IDN,NZL,60.59765624999636,60.59765624999636,1.0,XGB_OD
IDN,PAK,60.78720092773449,60.78720092773449,1.0,XGB_OD
IDN,PAN,38.24182128906256,38.24182128906256,1.0,XGB_OD
