iso3,year,scenario,ethnic_bucket,migrant_pred_bucket,migrant_shock_bucket,delta_migrants_bucket,delta_in_bucket,delta_out_bucket
ARE,2025,AID_HIGH,Other,307404.6894448415,307404.6894448415,0.0,0.0,0.0
ARE,2025,AID_HIGH__CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,307404.6894448415,0.0,0.0,0.0
ARE,2025,AID_HIGH__CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,307404.6894448415,0.0,0.0,0.0
ARE,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,AID_HIGH__CONFLICT_INTERNAL_LOW,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARE,2025,AID_HIGH__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARE,2025,AID_HIGH__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARE,2025,AID_LOW,Other,307404.6894448415,307404.6894448415,0.0,0.0,0.0
ARE,2025,AID_LOW__CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,307404.6894448415,0.0,0.0,0.0
ARE,2025,AID_LOW__CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,307404.6894448415,0.0,0.0,0.0
ARE,2025,AID_LOW__CONFLICT_INTERNAL_HIGH,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,AID_LOW__CONFLICT_INTERNAL_LOW,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARE,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARE,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARE,2025,CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,307404.6894448415,0.0,0.0,0.0
ARE,2025,CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,307404.6894448415,0.0,0.0,0.0
ARE,2025,CONFLICT_INTERNAL_HIGH,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,319239.482923409,11834.79347856752,0.0,11834.79347856752
ARE,2025,CONFLICT_INTERNAL_LOW,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARE,2025,CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARE,2025,CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,307404.6894448415,311349.620604364,3944.9311595225063,0.0,3944.9311595225063
ARG,2025,AID_HIGH,Other,14675.02220908898,14675.02220908898,0.0,0.0,0.0
ARG,2025,AID_HIGH__CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,14675.02220908898,0.0,0.0,0.0
ARG,2025,AID_HIGH__CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,14675.02220908898,0.0,0.0,0.0
ARG,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
ARG,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
