iso3,year,ethnic_group,share,model_name,type,total_pop_interp,count
USA,2005,Black or African American,0.12462126555565743,HIST,historical,295083722.0,36773706.880513795
USA,2005,Native Hawaiian and other Pacific Islander,0.0015831345026297004,HIST,historical,295083722.0,467157.22146259085
USA,2005,Some other race,0.05823189271503671,HIST,historical,295083722.0,17183283.64145772
USA,2005,Two or more races,0.026717906240923506,HIST,historical,295083722.0,7884019.217618738
USA,2005,White,0.7377351767092865,HIST,historical,295083722.0,217693641.793704
USA,2010,American Indian and Alaska native,0.009497296767411003,HIST,historical,308745538.0,2932247.999999971
USA,2010,Asian,0.04752862857567842,HIST,historical,308745538.0,14674252.000000007
USA,2010,Black or African American,0.12608868536911455,HIST,historical,308745538.0,38929319.0
USA,2010,Native Hawaiian and other Pacific Islander,0.001749055236548801,HIST,historical,308745538.0,540012.9999999768
USA,2010,Some other race,0.06188710652718803,HIST,historical,308745538.0,19107367.999999978
USA,2010,Two or more races,0.029179605504128715,HIST,historical,308745538.0,9009072.999999981
USA,2010,White,0.7240696220199305,HIST,historical,308745538.0,223553265.0000001
USA,2015,American Indian and Alaska native,0.010371130032715304,HIST,historical,320097409.5,3319771.857059819
USA,2015,Asian,0.053762944757036024,HIST,historical,320097409.5,17209379.34381884
USA,2015,Black or African American,0.12505111469502367,HIST,historical,320097409.5,40028537.868964456
USA,2015,Native Hawaiian and other Pacific Islander,0.0019153595638413006,HIST,historical,320097409.5,613101.6346466502
USA,2015,Some other race,0.07305514710349743,HIST,historical,320097409.5,23384763.33847096
USA,2015,Two or more races,0.06565182783456863,HIST,historical,320097409.5,21014980.018785413
USA,2015,White,0.6701924760133177,HIST,historical,320097409.5,214526875.43825388
USA,2020,American Indian and Alaska native,0.011244963298019602,HIST,historical,331449281.0,3727134.999999986
USA,2020,Asian,0.059997260938393714,HIST,historical,331449281.0,19886048.99999998
USA,2020,Black or African American,0.12401354402093273,HIST,historical,331449281.0,41104200.0
USA,2020,Native Hawaiian and other Pacific Islander,0.0020816638911339003,HIST,historical,331449281.0,689965.9999999935
USA,2020,Some other race,0.08422318767980672,HIST,historical,331449281.0,27915714.999999993
USA,2020,Two or more races,0.10212405016500853,HIST,historical,331449281.0,33848943.00000001
USA,2020,White,0.6163153300067048,HIST,historical,331449281.0,204277273.00000003
USA,2024,American Indian and Alaska native,0.011559619753791302,HIST,historical,342224737.5000019,3955987.835841065
USA,2024,Asian,0.06449436856125651,HIST,historical,342224737.5000019,22071568.351104386
USA,2024,Black or African American,0.12502048050586204,HIST,historical,342224737.5000019,42785101.12324274
USA,2024,Native Hawaiian and other Pacific Islander,0.0022144260511607005,HIST,historical,342224737.5000019,757831.3740716365
USA,2024,Some other race,0.08764821384713851,HIST,historical,342224737.5000019,29995386.97618101
USA,2024,Two or more races,0.10636077778005512,HIST,historical,342224737.5000019,36399289.2560754
USA,2024,White,0.6027021135007358,HIST,historical,342224737.5000019,206259572.58348566
IDN,2025,"Banjar, Melayu Banjar",0.07290867275055347,ET_BASE,forecast,292774488.82756096,21345799.395639215
IDN,2030,"Banjar, Melayu Banjar",0.07880016762683235,ET_BASE,forecast,325592719.3299122,25656760.861273263
IDN,2035,"Banjar, Melayu Banjar",0.08363526792664051,ET_BASE,forecast,362089672.8576832,30283466.802921947
IDN,2025,"Banjar, Melayu Banjar",0.0724796334154021,ET_GDELT,forecast,292774488.82756096,21220187.62360336
IDN,2030,"Banjar, Melayu Banjar",0.07760239243775623,ET_GDELT,forecast,325592719.3299122,25266773.98031606
IDN,2035,"Banjar, Melayu Banjar",0.08738683681463305,ET_GDELT,forecast,362089672.8576832,31641871.154278226
IDN,2025,Banten,0.02342950884382099,ET_BASE,forecast,292774488.82756096,6859562.475230509
IDN,2030,Banten,0.052138008253736136,ET_BASE,forecast,325592719.3299122,16975755.887779355
IDN,2035,Banten,0.07480730008901265,ET_BASE,forecast,362089672.8576832,27086950.816597126
IDN,2025,Banten,0.0186294764900687,ET_GDELT,forecast,292774488.82756096,5454235.456504928
IDN,2030,Banten,0.01875484990102345,ET_GDELT,forecast,325592719.3299122,6106442.5798985595
IDN,2035,Banten,0.01893302385949712,ET_GDELT,forecast,362089672.8576832,6855452.415492022
IDN,2025,Betawi,0.037739261792656895,ET_BASE,forecast,292774488.82756096,11049093.080074625
IDN,2030,Betawi,0.06011840299313427,ET_BASE,forecast,325592719.3299122,19574114.31230612
IDN,2035,Betawi,0.07739236308412245,ET_BASE,forecast,362089672.8576832,28022975.430812936
IDN,2025,Betawi,0.034377690705182797,ET_GDELT,forecast,292774488.82756096,10064910.823281886
IDN,2030,Betawi,0.04676763248396807,ET_GDELT,forecast,325592719.3299122,15227200.6370771
IDN,2035,Betawi,0.0633773987079487,ET_GDELT,forecast,362089672.8576832,22948301.564732097
IDN,2025,"Bugis, Ugi",0.033749655913636566,ET_BASE,forecast,292774488.82756096,9881038.258221015
IDN,2030,"Bugis, Ugi",0.05799975483067588,ET_BASE,forecast,325592719.3299122,18884297.895787973
IDN,2035,"Bugis, Ugi",0.07675992100163445,ET_BASE,forecast,362089672.8576832,27793974.684063423
IDN,2025,"Bugis, Ugi",0.029643490612309233,ET_GDELT,forecast,292774488.82756096,8678857.811083438
IDN,2030,"Bugis, Ugi",0.02864330587180465,ET_GDELT,forecast,325592719.3299122,9326051.849399317
IDN,2035,"Bugis, Ugi",0.029273410698163416,ET_GDELT,forecast,362089672.8576832,10599599.703126594
IDN,2025,Jawa,0.3713869098156411,ET_BASE,forecast,292774488.82756096,108732612.67852181
IDN,2030,Jawa,0.30830317597780665,ET_BASE,forecast,325592719.3299122,100381269.44466254
IDN,2035,Jawa,0.25910754148502385,ET_BASE,forecast,362089672.8576832,93820164.93127085
IDN,2025,Jawa,0.381188407945902,ET_GDELT,forecast,292774488.82756096,111602241.28335322
IDN,2030,Jawa,0.36715865983317236,ET_GDELT,forecast,325592719.3299122,119544186.48060879
IDN,2035,Jawa,0.34155705628882577,ET_GDELT,forecast,362089672.8576832,123674282.7738542
IDN,2025,Madura,0.030109197258702553,ET_BASE,forecast,292774488.82756096,8815204.83642484
IDN,2030,Madura,0.05600083241810319,ET_BASE,forecast,325592719.3299122,18233463.311748922
