iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
GBR,USA,2020,883111.0,45295697.0,887947.0,0.019496576021338186,0.9945537289950864
GBR,USA,2024,894789.0,48694117.0,900064.0,0.01837571056068231,0.994139305649376
GHA,USA,2000,66569.0,31369527.0,66569.0,0.002122091289422375,1.0
GHA,USA,2005,78299.0,35533585.0,78299.0,0.002203520978814831,1.0
GHA,USA,2010,126455.0,39769676.0,126455.0,0.003179683938083881,1.0
GHA,USA,2015,162903.0,43278121.0,162903.0,0.0037640959504688294,1.0
GHA,USA,2020,210738.0,45295697.0,210738.0,0.00465249491579741,1.0
GHA,USA,2024,258358.0,48694117.0,258358.0,0.005305733339409358,1.0
GRC,USA,2000,183593.0,31369527.0,183593.0,0.005852590636766694,1.0
GRC,USA,2005,159776.0,35533585.0,159776.0,0.004496478472408568,1.0
GRC,USA,2010,146811.0,39769676.0,146811.0,0.0036915312058363263,1.0
GRC,USA,2015,152851.0,43278121.0,152851.0,0.0035318307835037477,1.0
GRC,USA,2020,134752.0,45295697.0,134752.0,0.002974940423148804,1.0
GRC,USA,2024,130822.0,48694117.0,130822.0,0.002686607911998897,1.0
GTM,USA,2000,454084.0,31369527.0,454084.0,0.014475321862519635,1.0
GTM,USA,2005,651897.0,35533585.0,651897.0,0.018345939482323555,1.0
GTM,USA,2010,823536.0,39769676.0,823536.0,0.020707636642551475,1.0
GTM,USA,2015,952839.0,43278121.0,952839.0,0.022016644391747043,1.0
GTM,USA,2020,1144667.0,45295697.0,1144667.0,0.0252709876613666,1.0
GTM,USA,2024,1298936.0,48694117.0,1298936.0,0.026675419537846842,1.0
GUY,USA,2000,218325.0,31369527.0,218325.0,0.006959779788837747,1.0
GUY,USA,2005,253002.0,35533585.0,253002.0,0.007120080903742192,1.0
GUY,USA,2010,257524.0,39769676.0,257524.0,0.006475385919664017,1.0
GUY,USA,2015,279144.0,43278121.0,279144.0,0.006450002762365769,1.0
GUY,USA,2020,277360.0,45295697.0,277360.0,0.006123318954557648,1.0
GUY,USA,2024,314783.0,48694117.0,314783.0,0.006464497549057107,1.0
HKG,USA,2000,210485.0,31369527.0,210485.0,0.0067098557144326726,1.0
HKG,USA,2005,214124.0,35533585.0,214124.0,0.006025961073165007,1.0
HKG,USA,2010,215677.0,39769676.0,215677.0,0.00542315205182964,1.0
HKG,USA,2015,244595.0,43278121.0,244595.0,0.0056517010061504286,1.0
HKG,USA,2020,258439.0,45295697.0,258439.0,0.00570559715639214,1.0
HKG,USA,2024,268915.0,48694117.0,268915.0,0.0055225357100119506,1.0
