iso3,year,ethnic_group,value_interp,share_interp,total_pop_interp
AUS,2000,Sindhi,241,1.057482800095845e-05,22812914.0
AUS,2000,Singaporean,4144,0.00018164050966056012,22812914.0
AUS,2000,Sinhalese,58601,0.0025687643411096014,22812914.0
AUS,2000,Slovak,7054,0.0003092108268150224,22812914.0
AUS,2000,Slovenian,14187,0.0006218846044832326,22812914.0
AUS,2000,Solomon Islander,769,3.370897729242306e-05,22812914.0
AUS,2000,Somalie,5007,0.0002194809483786245,22812914.0
AUS,2000,Sorb/Wend,218,9.547619261846444e-06,22812914.0
AUS,2000,South African,52119,0.002284627031864496,22812914.0
AUS,2000,"South American, nec (incl. Arawak, Carib, Surinamese)",765,3.353363800871734e-05,22812914.0
AUS,2000,"South American, nfd",7903,0.0003464265897815597,22812914.0
AUS,2000,"South Eastern European, nec (incl. Aromani, Karakachani, Vlach)",119,5.21634369024492e-06,22812914.0
AUS,2000,"South Eastern European, nfd",9798,0.00042949357543714057,22812914.0
AUS,2000,South Sudanese,9411,0.00041253067700155576,22812914.0
AUS,2000,"South-East Asian, nfd",45,1.9725669416892555e-06,22812914.0
AUS,2000,"Southern Asian, nec (incl. Bhote, Kashmiri, Sherpa)",915,4.010886114768153e-05,22812914.0
AUS,2000,"Southern Asian, nfd",3084,0.00013518658773710364,22812914.0
AUS,2000,"Southern European, nec (incl. Andorran, Galician, Ladin)",218,9.555990961961282e-06,22812914.0
AUS,2000,"Southern European, nfd",32,1.4027142696456927e-06,22812914.0
AUS,2000,"Southern and Central Asian, nfd",6,2.630089255585674e-07,22812914.0
AUS,2000,"Southern and East African, nec (incl. Afar, Tutsi, Zulu)",2412,0.00010572958807454409,22812914.0
AUS,2000,"Southern and East African, nfd",298,1.3062776636075515e-05,22812914.0
AUS,2000,"Southern and Eastern European, nfd",2125,9.314899446865929e-05,22812914.0
AUS,2000,Spanish,75237,0.0032980004220416557,22812914.0
AUS,2000,Sri Lanka Tamil,4223,0.00018513094155731992,22812914.0
AUS,2000,Sri Lankan,61237,0.002684291475270318,22812914.0
AUS,2000,"Sub-saharan African, nfd",7571,0.00033187342923398565,22812914.0
AUS,2000,Sudanese,3788,0.00016604630166930888,22812914.0
AUS,2000,Sundanese,86,3.7697945996727994e-06,22812914.0
AUS,2000,Swahili,196,8.609910635915495e-06,22812914.0
AUS,2000,Swaziland,82,3.572577027350828e-06,22812914.0
AUS,2000,Swedish,24424,0.001070621666307075,22812914.0
AUS,2000,Swiss,22151,0.0009709851183413044,22812914.0
AUS,2000,Syrian,10213,0.00044768502612160815,22812914.0
AUS,2000,Tahitian,620,2.718910505842691e-05,22812914.0
AUS,2000,Taiwanese,4416,0.0001935745692111056,22812914.0
AUS,2000,Tajik,106,4.636292481061236e-06,22812914.0
AUS,2000,Tamil,7706,0.0003377911300590534,22812914.0
AUS,2000,Tanzanian,270,1.1835401650135532e-05,22812914.0
AUS,2000,Tatar,268,1.1747893659638218e-05,22812914.0
AUS,2000,Telugu,649,2.843771313771259e-05,22812914.0
AUS,2000,Thai,20608,0.0009033479896518262,22812914.0
AUS,2000,Themne,38,1.679111202854889e-06,22812914.0
AUS,2000,Tibetan,289,1.2668263247737663e-05,22812914.0
AUS,2000,Tigray,82,3.5754458964116315e-06,22812914.0
AUS,2000,Tigre,21,9.036841276644782e-07,22812914.0
AUS,2000,Timorese,5491,0.0002406970017070156,22812914.0
AUS,2000,Togolese,152,6.64499327087254e-06,22812914.0
AUS,2000,Tokelauan,1016,4.451626594103713e-05,22812914.0
AUS,2000,Tongan,14889,0.000652656648773585,22812914.0
AUS,2000,Torres Strait Islander,9789,0.00042909906204880273,22812914.0
