iso3_dest,destination_raw,iso3_orig,origin_raw,year,sex,value,metric,unit,source
ABW,Aruba*,USA,United States of America*,1990,Both sexes,425.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,USA,United States of America*,1995,Both sexes,553.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,USA,United States of America*,2000,Both sexes,681.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,USA,United States of America*,2005,Both sexes,638.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,USA,United States of America*,2010,Both sexes,583.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,USA,United States of America*,2015,Both sexes,612.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,USA,United States of America*,2020,Both sexes,683.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,USA,United States of America*,2024,Both sexes,937.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,VEN,Venezuela (Bolivarian Republic of),1990,Both sexes,1144.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,VEN,Venezuela (Bolivarian Republic of),1995,Both sexes,2000.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,VEN,Venezuela (Bolivarian Republic of),2000,Both sexes,2856.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,VEN,Venezuela (Bolivarian Republic of),2005,Both sexes,3074.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,VEN,Venezuela (Bolivarian Republic of),2010,Both sexes,3232.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,VEN,Venezuela (Bolivarian Republic of),2015,Both sexes,3399.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,VEN,Venezuela (Bolivarian Republic of),2020,Both sexes,17000.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
ABW,Aruba*,VEN,Venezuela (Bolivarian Republic of),2024,Both sexes,23312.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,PAK,Pakistan,1990,Both sexes,8107.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,PAK,Pakistan,1995,Both sexes,17225.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,PAK,Pakistan,2000,Both sexes,26343.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,PAK,Pakistan,2005,Both sexes,37163.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,PAK,Pakistan,2010,Both sexes,47984.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,PAK,Pakistan,2015,Both sexes,268369.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,PAK,Pakistan,2020,Both sexes,102500.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,PAK,Pakistan,2024,Both sexes,69788.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,TJK,Tajikistan,1990,Both sexes,40537.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,TJK,Tajikistan,1995,Both sexes,36733.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,TJK,Tajikistan,2000,Both sexes,32929.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,TJK,Tajikistan,2005,Both sexes,28460.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,TJK,Tajikistan,2010,Both sexes,23991.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,TJK,Tajikistan,2015,Both sexes,15031.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,TJK,Tajikistan,2020,Both sexes,4422.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,TJK,Tajikistan,2024,Both sexes,3011.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,UZB,Uzbekistan,1990,Both sexes,2027.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,UZB,Uzbekistan,1995,Both sexes,1836.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,UZB,Uzbekistan,2000,Both sexes,1646.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,UZB,Uzbekistan,2005,Both sexes,1422.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,UZB,Uzbekistan,2010,Both sexes,1199.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,UZB,Uzbekistan,2015,Both sexes,751.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,UZB,Uzbekistan,2020,Both sexes,219.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AFG,Afghanistan,UZB,Uzbekistan,2024,Both sexes,149.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CIV,Côte d'Ivoire,1990,Both sexes,5.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CIV,Côte d'Ivoire,1995,Both sexes,6.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CIV,Côte d'Ivoire,2000,Both sexes,7.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CIV,Côte d'Ivoire,2005,Both sexes,21.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CIV,Côte d'Ivoire,2010,Both sexes,1424.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CIV,Côte d'Ivoire,2015,Both sexes,6448.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CIV,Côte d'Ivoire,2020,Both sexes,12644.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CIV,Côte d'Ivoire,2024,Both sexes,13031.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COD,Democratic Republic of the Congo,1990,Both sexes,12178.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COD,Democratic Republic of the Congo,1995,Both sexes,14957.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COD,Democratic Republic of the Congo,2000,Both sexes,17735.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COD,Democratic Republic of the Congo,2005,Both sexes,24738.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COD,Democratic Republic of the Congo,2010,Both sexes,31210.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COD,Democratic Republic of the Congo,2015,Both sexes,75667.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COD,Democratic Republic of the Congo,2020,Both sexes,90444.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COD,Democratic Republic of the Congo,2024,Both sexes,93210.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COG,Congo,1990,Both sexes,410.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COG,Congo,1995,Both sexes,477.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COG,Congo,2000,Both sexes,543.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COG,Congo,2005,Both sexes,715.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COG,Congo,2010,Both sexes,870.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COG,Congo,2015,Both sexes,997.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COG,Congo,2020,Both sexes,1059.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,COG,Congo,2024,Both sexes,1091.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
AGO,Angola,CPV,Cabo Verde,1990,Both sexes,3569.0,migrant_stock,persons,UNDESA_2024_IMS_Table1_bothsex
